rank,overall_rank,country,BIGI,AADP,basic_education,healthy_life_span,life_satisfaction,human_development_index
1,12,Bahrain,-0.00794,0.00794,-0.01264,0.00000,-0.01117,0.82050
2,24,Great Britain,-0.01455,0.01567,-0.01214,-0.03318,0.00169,0.90500
3,27,Netherlands,-0.01585,0.01585,-0.01109,-0.02748,-0.00898,0.92300
4,35,Iceland,-0.01768,0.01681,-0.01101,-0.02437,-0.01506,0.91550
5,32,New Zealand,-0.01709,0.01709,-0.01033,-0.02725,-0.01368,0.91150
6,30,Serbia,-0.01670,0.01851,-0.00487,-0.04794,0.00273,0.77200
7,39,Norway,-0.01950,0.01865,-0.00417,-0.03303,-0.01875,0.94600
8,34,Ireland,-0.01744,0.02011,0.00401,-0.04635,-0.00997,0.91375
9,40,Ecuador,-0.02012,0.02012,-0.00663,-0.05348,-0.00025,0.73500
10,31,Lebanon,-0.01697,0.02016,0.00479,-0.04472,-0.01098,0.76375
11,10,Malta,-0.00732,0.02170,-0.01064,-0.03288,0.02157,0.84600
12,16,Belgium,-0.01118,0.02190,0.01609,-0.04925,-0.00038,0.89250
13,2,Israel,0.00063,0.02230,0.02111,-0.03251,0.01328,0.89575
14,45,United Arab Emirates,-0.02244,0.02244,-0.03587,0.00000,-0.03145,0.83425
15,26,Sweden,-0.01575,0.02253,0.01017,-0.03792,-0.01950,0.90800
16,46,Denmark,-0.02347,0.02347,-0.03058,-0.03604,-0.00380,0.92450
17,23,Canada,-0.01417,0.02380,0.01445,-0.03777,-0.01919,0.91500
18,11,Switzerland,-0.00794,0.02391,0.02404,-0.04011,-0.00757,0.93675
19,49,Australia,-0.02420,0.02420,-0.01385,-0.04032,-0.01844,0.93625
20,36,Czech Rep.,-0.01833,0.02466,0.00325,-0.06448,0.00625,0.87225
21,52,Cyprus,-0.02550,0.02550,-0.01317,-0.03495,-0.02838,0.85225
22,43,France,-0.02177,0.02567,-0.00430,-0.06686,0.00584,0.89200
23,4,Azerbaijan,-0.00267,0.02639,0.02781,-0.04359,0.00777,0.75350
24,1,Italy,0.00021,0.02695,0.00178,-0.04011,0.03897,0.88025
