idno;cntry;gndr;trmedmw;trwrkmw;trplcmw;trmdcnt;trwkcnt;trplcnt
50014;AT;1;3;3;3;3;3;3
50030;AT;2;3;2;3;1;1;8
50057;AT;2;3;3;3;1;1;1
50106;AT;2;3;1;3;3;1;2
50145;AT;1;3;3;3;3;1;3
50158;AT;2;3;2;3;3;1;3
50211;AT;2;3;3;3;3;1;3
50212;AT;2;3;3;3;3;1;3
50213;AT;2;3;1;3;3;1;3
50235;AT;2;3;3;3;3;3;3
50236;AT;2;3;2;3;3;1;3
50238;AT;1;3;3;3;8;1;8
50240;AT;2;2;1;1;1;1;1
50248;AT;2;3;3;3;3;3;3
50270;AT;2;3;3;3;3;7;3
50281;AT;2;3;2;3;8;1;8
50310;AT;1;3;3;3;3;1;3
50311;AT;2;3;3;3;3;3;3
50324;AT;1;3;3;3;3;1;3
50339;AT;1;3;3;1;8;8;2
50341;AT;2;3;3;3;3;3;3
50349;AT;1;3;3;3;3;3;3
50355;AT;1;3;3;3;3;8;3
50358;AT;1;3;3;3;2;3;2
50363;AT;2;3;3;3;3;1;3
50367;AT;2;3;3;3;3;1;3
50375;AT;2;3;1;3;3;1;3
50380;AT;2;3;3;3;3;1;2
50412;AT;2;3;3;3;3;1;2
50423;AT;2;3;3;3;3;3;3
50427;AT;2;3;3;3;3;1;3
50433;AT;1;3;3;4;3;1;3
50441;AT;2;3;4;3;1;1;3
50446;AT;2;3;1;3;3;1;3
50465;AT;2;3;1;3;1;1;8
50468;AT;2;3;3;3;3;3;3
50489;AT;2;3;4;4;3;3;3
50512;AT;2;3;3;3;3;3;3
50517;AT;1;3;3;4;3;1;8
50577;AT;1;3;3;3;3;1;3
50591;AT;2;3;2;2;3;1;1
50592;AT;2;3;2;3;3;1;3
50611;AT;2;3;1;3;3;1;8
50623;AT;2;3;3;3;3;3;3
50637;AT;1;3;3;4;3;3;3
50638;AT;1;3;3;3;3;1;3
50651;AT;2;3;3;3;3;1;3
50681;AT;1;3;3;3;3;1;3
50687;AT;1;3;3;3;8;8;3
50707;AT;2;3;1;3;3;1;3
50714;AT;1;3;3;3;3;3;3
50730;AT;1;3;3;3;3;1;3
50732;AT;2;3;4;4;3;3;3
50735;AT;1;3;3;3;3;1;3
50812;AT;2;3;3;3;3;3;3
50868;AT;2;3;3;3;3;1;2
50897;AT;2;3;3;3;3;3;3
50910;AT;2;3;3;3;3;3;3
50979;AT;1;3;3;3;3;8;3
50994;AT;2;3;3;3;3;1;3
50995;AT;2;3;3;3;3;1;3
51015;AT;1;2;2;3;3;3;3
51029;AT;1;3;3;3;3;3;3
51042;AT;2;3;3;3;3;1;3
51046;AT;2;3;2;1;1;1;3
51086;AT;2;3;3;3;3;3;3
51112;AT;1;3;3;3;3;1;3
51128;AT;1;3;3;3;3;1;3
51136;AT;2;3;1;3;1;1;7
51181;AT;1;3;3;3;3;1;2
51190;AT;1;3;3;3;3;3;3
51191;AT;2;3;3;3;3;1;3
51192;AT;2;3;3;3;3;1;3
51221;AT;2;1;3;3;3;1;2
51224;AT;1;3;3;3;3;1;3
51231;AT;2;3;3;3;3;1;3
51259;AT;1;3;3;1;3;8;8
51262;AT;1;3;3;3;3;1;3
51285;AT;2;3;4;3;3;1;8
51322;AT;1;3;3;3;3;3;3
51414;AT;2;3;3;3;3;1;3
51440;AT;1;3;3;3;1;1;8
51455;AT;1;3;3;3;3;1;3
51503;AT;1;3;3;3;3;3;3
51504;AT;1;3;3;3;3;8;2
51506;AT;1;3;3;3;3;3;3
51521;AT;1;3;3;3;3;1;3
51555;AT;1;3;3;3;3;3;3
51578;AT;1;3;3;3;3;1;3
51581;AT;1;3;3;3;3;3;3
51596;AT;1;3;3;3;3;1;3
51650;AT;2;3;3;3;2;7;7
51713;AT;1;3;3;3;3;1;3
51719;AT;2;3;2;4;1;1;8
51720;AT;2;3;3;3;3;1;3
51731;AT;1;3;3;3;3;3;3
51735;AT;2;3;2;3;3;1;3
51736;AT;1;3;2;3;3;1;8
51739;AT;2;3;2;3;3;1;3
51741;AT;1;3;3;3;3;1;3
51757;AT;1;3;3;3;3;1;3
51766;AT;1;1;1;3;3;1;2
51773;AT;1;3;3;3;3;1;3
51780;AT;2;3;1;3;3;1;3
51802;AT;1;3;3;4;3;3;8
51857;AT;2;3;3;3;3;1;3
51878;AT;1;3;3;1;3;1;2
51897;AT;1;3;3;3;3;1;3
51901;AT;2;3;3;3;3;3;3
51911;AT;2;3;1;3;3;1;8
51944;AT;2;3;3;1;3;1;1
51959;AT;1;3;3;3;3;3;2
51961;AT;1;3;3;3;3;1;3
51965;AT;2;3;2;3;3;1;3
51977;AT;2;3;3;4;3;3;3
51995;AT;1;3;3;3;3;8;3
52009;AT;2;3;3;3;3;1;3
52020;AT;1;3;3;3;3;1;2
52035;AT;2;3;3;3;3;1;3
52046;AT;1;3;3;3;8;1;2
52062;AT;2;3;3;3;3;3;3
52065;AT;1;3;3;3;3;3;3
52089;AT;2;3;3;3;3;3;3
52094;AT;1;3;3;3;3;1;2
52117;AT;2;3;3;3;3;1;3
52135;AT;2;3;3;3;3;1;3
52150;AT;2;3;2;3;1;1;3
52170;AT;2;2;2;3;1;1;3
52179;AT;1;3;3;3;3;2;3
52249;AT;1;3;3;3;3;1;3
